0	72
1	8
2	45
3	16
4	55
5	42
6	57
7	76
8	26
9	31
10	63
11	68
12	7
13	71
14	18
15	36
16	13
17	41
18	47
19	53
20	59
21	66
22	29
23	62
24	73
25	61
26	39
27	15
28	78
29	60
30	54
31	22
32	38
33	32
34	27
35	6
36	21
37	49
38	44
39	64
40	58
41	69
42	30
43	34
44	10
45	20
46	48
47	19
48	28
49	52
50	5
51	43
52	70
53	14
54	67
55	65
56	33
57	4
58	9
59	3
60	75
61	11
62	23
63	56
64	51
65	25
66	2
67	35
68	24
69	12
70	40
71	17
72	46
73	50
74	1
75	37
76	77
77	74
78	82
79	89
80	79
81	96
82	94
83	100
84	98
85	88
86	83
87	81
88	84
89	92
90	95
91	93
92	85
93	99
94	90
95	87
96	80
97	91
98	86
99	97
